rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,model_base,launch_date,model_age_days,launch_evidence_url
32,google/gemini-3-pro-preview@reasoning=high,google,high,0.9433,0.36,0.41,36,23,41,100,0,google/gemini-3-pro-preview,2025-11-18,105,https://ai.google.dev/gemini-api/docs/changelog
33,openai/gpt-5.1@reasoning=default,openai,default,0.8767,0.25,0.31,25,44,31,100,0,openai/gpt-5.1,2025-11-13,110,https://developers.openai.com/api/docs/changelog
34,anthropic/claude-sonnet-4@reasoning=none,anthropic,none,0.87,0.29,0.42,29,29,42,100,0,anthropic/claude-sonnet-4,2025-05-22,285,https://www.anthropic.com/news/claude-4
35,google/gemini-3.1-pro-preview@reasoning=high,google,high,0.8667,0.31,0.46,31,23,46,100,0,google/gemini-3.1-pro-preview,2026-02-19,12,https://ai.google.dev/gemini-api/docs/changelog
36,anthropic/claude-sonnet-4@reasoning=high,anthropic,high,0.8533,0.3,0.43,30,27,43,100,0,anthropic/claude-sonnet-4,2025-05-22,285,https://www.anthropic.com/news/claude-4
37,openai/gpt-5.1-codex@reasoning=default,openai,default,0.8433,0.32,0.43,32,25,43,100,0,openai/gpt-5.1-codex,2025-11-13,110,https://developers.openai.com/api/docs/changelog
38,openai/gpt-5.2-chat@reasoning=default,openai,default,0.83,0.27,0.4,27,33,40,100,0,openai/gpt-5.2-chat,2025-12-10,83,https://openai.com/index/introducing-gpt-5-2/
39,openai/gpt-5.3-codex@reasoning=low,openai,low,0.83,0.24,0.37,24,39,37,100,0,openai/gpt-5.3-codex,2026-02-05,26,https://openai.com/index/introducing-gpt-5-3-codex/
40,openai/gpt-5@reasoning=default,openai,default,0.82,0.21,0.37,21,42,37,100,0,openai/gpt-5,2025-08-07,208,https://developers.openai.com/api/docs/changelog
41,z-ai/glm-5@reasoning=high,z-ai,high,0.7267,0.28,0.53,28,19,53,100,0,z-ai/glm-5,2026-02-12,19,https://docs.z.ai/release-notes/new-released
42,openai/gpt-5.3-codex@reasoning=high,openai,high,0.69,0.2,0.46,20,34,46,100,0,openai/gpt-5.3-codex,2026-02-05,26,https://openai.com/index/introducing-gpt-5-3-codex/
43,openai/gpt-5.3-codex@reasoning=xhigh,openai,xhigh,0.6767,0.19,0.5,19,31,50,100,0,openai/gpt-5.3-codex,2026-02-05,26,https://openai.com/index/introducing-gpt-5-3-codex/
44,openai/o3@reasoning=default,openai,default,0.6667,0.26,0.58,26,16,58,100,0,openai/o3,2025-04-16,321,https://developers.openai.com/api/docs/changelog
45,openai/gpt-5-chat@reasoning=default,openai,default,0.6367,0.18,0.52,18,30,52,100,0,openai/gpt-5-chat,2025-08-07,208,https://openai.com/index/introducing-gpt-5-for-developers/
46,google/gemini-2.5-pro@reasoning=default,google,default,0.5967,0.2,0.58,20,22,58,100,0,google/gemini-2.5-pro,2025-06-17,259,https://ai.google.dev/gemini-api/docs/changelog
47,z-ai/glm-5@reasoning=none,z-ai,none,0.5867,0.2,0.58,20,22,58,100,0,z-ai/glm-5,2026-02-12,19,https://docs.z.ai/release-notes/new-released
48,x-ai/grok-4.1-fast@reasoning=high,x-ai,high,0.5767,0.19,0.59,19,22,59,100,0,x-ai/grok-4.1-fast,2025-11-19,104,https://x.ai/news/grok-4-1-fast
49,xiaomi/mimo-v2-flash@reasoning=none,xiaomi,none,0.55,0.16,0.56,16,28,56,100,0,xiaomi/mimo-v2-flash,2025-12-16,77,https://mimo.xiaomi.com/blog/mimo-v2-flash
50,google/gemini-2.5-flash@reasoning=default,google,default,0.54,0.19,0.67,19,14,67,100,0,google/gemini-2.5-flash,2025-06-17,259,https://ai.google.dev/gemini-api/docs/changelog
51,openai/gpt-4o-2024-08-06@reasoning=default,openai,default,0.4933,0.12,0.61,12,27,61,100,0,openai/gpt-4o-2024-08-06,2024-08-06,574,https://developers.openai.com/api/docs/changelog
52,google/gemini-2.0-flash-001@reasoning=default,google,default,0.48,0.15,0.66,15,19,66,100,0,google/gemini-2.0-flash-001,2025-02-05,391,https://ai.google.dev/gemini-api/docs/changelog
53,deepseek/deepseek-v3.2@reasoning=high,deepseek,high,0.46,0.13,0.64,13,23,64,100,0,deepseek/deepseek-v3.2,2025-12-01,92,https://api-docs.deepseek.com/news/news251201
54,minimax/minimax-m2.5@reasoning=low,minimax,low,0.4433,0.09,0.62,9,29,62,100,0,minimax/minimax-m2.5,2026-02-12,19,https://www.minimaxi.com/news/minimax-m25
55,openai/gpt-4.1@reasoning=default,openai,default,0.4333,0.14,0.67,14,19,67,100,0,openai/gpt-4.1,2025-04-14,323,https://developers.openai.com/api/docs/changelog
56,google/gemini-3-flash-preview@reasoning=high,google,high,0.4067,0.1,0.71,10,19,71,100,0,google/gemini-3-flash-preview,2025-12-17,76,https://ai.google.dev/gemini-api/docs/changelog
57,bytedance-seed/seed-1.6@reasoning=high,bytedance-seed,high,0.4067,0.07,0.61,7,32,61,100,0,bytedance-seed/seed-1.6,2025-06-25,251,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D
58,google/gemini-3.1-flash-lite-preview@reasoning=default,google,default,0.4033,0.11,0.74,11,15,74,100,0,google/gemini-3.1-flash-lite-preview,2026-03-04,0,https://openrouter.ai/google/gemini-3.1-flash-lite-preview
59,xiaomi/mimo-v2-flash@reasoning=high,xiaomi,high,0.3967,0.13,0.72,13,15,72,100,0,xiaomi/mimo-v2-flash,2025-12-16,77,https://mimo.xiaomi.com/blog/mimo-v2-flash
60,bytedance-seed/seed-1.6@reasoning=none,bytedance-seed,none,0.3967,0.11,0.69,11,20,69,100,0,bytedance-seed/seed-1.6,2025-06-25,251,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D
61,openai/gpt-oss-120b@reasoning=low,openai,low,0.3967,0.11,0.67,11,22,67,100,0,openai/gpt-oss-120b,2025-08-05,210,https://openai.com/index/introducing-gpt-oss/
62,deepseek/deepseek-v3.2@reasoning=none,deepseek,none,0.3967,0.1,0.69,10,21,69,100,0,deepseek/deepseek-v3.2,2025-12-01,92,https://api-docs.deepseek.com/news/news251201
63,minimax/minimax-m2.5@reasoning=high,minimax,high,0.3933,0.08,0.66,8,26,66,100,0,minimax/minimax-m2.5,2026-02-12,19,https://www.minimaxi.com/news/minimax-m25
64,anthropic/claude-3-haiku@reasoning=default,anthropic,default,0.3433,0.1,0.75,10,15,75,100,0,anthropic/claude-3-haiku,2024-03-13,720,https://www.anthropic.com/news/claude-3-haiku
65,google/gemini-3-flash-preview@reasoning=none,google,none,0.3367,0.1,0.74,10,16,74,100,0,google/gemini-3-flash-preview,2025-12-17,76,https://ai.google.dev/gemini-api/docs/changelog
66,x-ai/grok-4.1-fast@reasoning=none,x-ai,none,0.3,0.1,0.8,10,10,80,100,0,x-ai/grok-4.1-fast,2025-11-19,104,https://x.ai/news/grok-4-1-fast
67,openai/gpt-oss-120b@reasoning=high,openai,high,0.2967,0.05,0.72,5,23,72,100,0,openai/gpt-oss-120b,2025-08-05,210,https://openai.com/index/introducing-gpt-oss/
68,openai/o4-mini@reasoning=high,openai,high,0.2933,0.04,0.71,4,25,71,100,0,openai/o4-mini,2025-04-16,321,https://developers.openai.com/api/docs/changelog
69,openai/o4-mini@reasoning=low,openai,low,0.2767,0.08,0.79,8,13,79,100,0,openai/o4-mini,2025-04-16,321,https://developers.openai.com/api/docs/changelog
70,baidu/ernie-4.5-300b-a47b@reasoning=default,baidu,default,0.2667,0.04,0.74,4,22,74,100,0,baidu/ernie-4.5-300b-a47b,2025-06-30,246,https://ernie.baidu.com/blog/posts/ernie4.5/
71,prime-intellect/intellect-3@reasoning=low,prime-intellect,low,0.23,0.07,0.82,7,11,82,100,0,prime-intellect/intellect-3,2025-11-26,97,https://www.primeintellect.ai/blog/launching-intellect-3
72,prime-intellect/intellect-3@reasoning=high,prime-intellect,high,0.19,0.05,0.85,5,10,85,100,0,prime-intellect/intellect-3,2025-11-26,97,https://www.primeintellect.ai/blog/launching-intellect-3
73,mistralai/mistral-large-2512@reasoning=default,mistralai,default,0.1733,0.02,0.85,2,13,85,100,0,mistralai/mistral-large-2512,2025-12-02,91,https://docs.mistral.ai/getting-started/changelog/
74,openai/gpt-4o-mini-2024-07-18@reasoning=default,openai,default,0.1567,0.02,0.86,2,12,86,100,0,openai/gpt-4o-mini-2024-07-18,2024-07-18,593,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
75,google/gemma-3-27b-it@reasoning=default,google,default,0.1467,0.03,0.88,3,9,88,100,0,google/gemma-3-27b-it,2025-03-12,356,https://ai.google.dev/gemini-api/docs/changelog
